,ID,layout_id,scenario_id,order_inflow_15m,unique_sku_15m,avg_items_per_order,urgent_order_ratio,heavy_item_ratio,cold_chain_ratio,sku_concentration,robot_active,robot_idle,robot_charging,robot_utilization,avg_trip_distance,task_reassign_15m,battery_mean,battery_std,low_battery_ratio,charge_queue_length,avg_charge_wait,congestion_score,max_zone_density,blocked_path_15m,near_collision_15m,fault_count_15m,avg_recovery_time,replenishment_overlap,pack_utilization,manual_override_ratio,avg_delay_minutes_next_30m,warehouse_temp_avg,humidity_pct,day_of_week,external_temp_c,wind_speed_kmh,precipitation_mm,lighting_level_lux,ambient_noise_db,floor_vibration_idx,return_order_ratio,air_quality_idx,co2_level_ppm,hvac_power_kw,wms_response_time_ms,scanner_error_rate,wifi_signal_db,network_latency_ms,worker_avg_tenure_months,safety_score_monthly,label_print_queue,barcode_read_success_rate,ups_battery_pct,lighting_zone_variance,shift_hour,staff_on_floor,forklift_active_count,loading_dock_util,conveyor_speed_mps,prev_shift_volume,avg_package_weight_kg,inventory_turnover_rate,daily_forecast_accuracy,order_wave_count,pick_list_length_avg,express_lane_util,bulk_order_ratio,staging_area_util,cold_storage_temp_c,pallet_wrap_time_min,fleet_age_months_avg,maintenance_schedule_score,robot_firmware_update_days,avg_idle_duration_min,charge_efficiency_pct,battery_cycle_count_avg,agv_task_success_rate,robot_calibration_score,aisle_traffic_score,zone_temp_variance,path_optimization_score,intersection_wait_time_avg,storage_density_pct,vertical_utilization,racking_height_avg_m,cross_dock_ratio,packaging_material_cost,quality_check_rate,outbound_truck_wait_min,dock_to_stock_hours,kpi_otd_pct,backorder_ratio,shift_handover_delay_min,sort_accuracy_pct
107345,TRAIN_107345,WH_237,SC_00061,91.0,267.0,6.13,0.022,0.1978,0.022,0.4389,19,0,21,0.475,86.83,0.0,,29.5,0.325,9.0,7.5,100.0,0.2,6.0,5.0,3.0,6.07,0.0638,0.0227,0.1734,29.721245863859338,20.26,,2.0,15.4,12.2,5.6,720.0,67.6,0.5475,0.126,90.5,1111.0,49.3,112.0,0.002,-30.0,42.7,,95.1,,0.9528,,0.4624,11.0,20.0,2.0,0.6332,2.23,1732.0,10.4,3.38,0.7645,21.0,10.92,0.2004,0.2368,0.6568,-23.5,2.81,36.2,,57.0,4.01,75.0,,,79.4,61.1,1.68,,5.55,0.5602,0.7226,3.09,0.2159,0.69,0.1969,4.4,20.11,89.9,0.1028,6.56,90.16
216042,TRAIN_216042,WH_098,SC_01649,10.0,20.0,2.7,0.0,0.0,,0.1112,2,35,0,0.0541,,0.0,61.23,19.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4167,0.0243,5.349655419370447,24.66,65.4,3.0,35.4,4.7,5.4,427.0,50.0,0.7643,0.0,45.7,,45.0,404.0,0.0335,-47.3,50.0,53.0,71.7,14.0,0.9957,57.7,0.8962,3.0,32.0,4.0,0.1588,1.91,621.0,6.14,1.92,0.9139,13.0,13.74,0.0144,0.1625,0.2521,-3.5,2.85,,77.7,11.0,4.57,85.8,,,92.0,16.1,1.9,83.7,4.94,0.77,,5.25,0.1718,3.45,0.1265,13.0,7.24,98.0,0.1055,7.39,98.75
98247,TRAIN_098247,WH_030,SC_05157,12.0,37.0,5.25,0.0,,0.0,0.1138,2,65,3,0.0286,41.63,0.0,,18.79,0.0143,,0.0,1.25,0.0143,,0.0,0.0,0.0,0.0,0.0926,0.1014,21.44489220756632,24.75,53.4,,10.8,12.4,26.2,345.0,50.0,0.5364,,12.9,716.0,5.0,199.0,0.0414,-66.1,14.2,98.0,60.0,4.0,0.9509,90.3,0.6016,9.0,30.0,2.0,0.3986,1.79,554.0,3.7,,,16.0,11.1,0.2875,0.0997,0.6171,-12.7,5.68,36.2,75.4,41.2,11.57,95.1,58.0,0.9323,76.2,22.4,0.04,68.1,4.08,0.7401,0.3111,3.69,0.1166,3.47,0.1088,8.5,8.29,,0.0871,,100.0
158037,TRAIN_158037,WH_167,SC_09858,44.0,49.0,1.75,0.1136,0.0909,0.0455,0.257,7,26,0,0.2121,45.9,0.0,56.38,16.32,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.188,0.0365,7.407919163505275,18.67,80.0,2.0,31.4,44.1,25.7,635.0,63.2,0.5882,0.0894,17.7,1027.0,34.0,310.0,,-75.4,19.2,87.0,,0.0,0.9264,71.2,,10.0,35.0,2.0,0.17,2.04,2303.0,,1.04,0.6517,9.0,10.65,0.4659,,0.0467,-23.5,,20.2,70.0,37.0,2.08,81.5,220.0,0.9012,90.1,,0.49,65.4,1.6,,0.8806,5.1,0.1391,4.87,0.1958,11.2,6.68,,,0.72,97.02
238134,TRAIN_238134,WH_296,SC_06702,63.0,126.0,3.89,0.0476,0.1746,0.0,0.4293,9,10,0,0.4737,,0.0,61.35,17.58,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.5625,0.0788,3.8695160096885344,19.41,46.2,2.0,40.0,13.0,14.0,536.0,82.4,0.4001,0.0945,91.8,,52.1,159.0,0.0414,-66.9,,94.0,97.3,6.0,0.9779,50.0,0.0502,13.0,27.0,2.0,0.499,1.42,1502.0,8.51,2.69,0.916,5.0,10.73,0.4039,0.3056,0.07,-24.7,4.33,41.1,70.0,58.8,4.52,,305.0,0.9604,96.6,47.3,2.73,89.0,6.0,0.6271,0.3894,8.92,0.2763,7.36,,11.8,11.64,,0.1279,2.28,
178754,TRAIN_178754,WH_224,SC_00727,30.0,51.0,3.7,0.0,0.2,0.0,0.3443,8,11,1,0.4,54.1,0.0,52.37,15.61,0.0,0.0,0.0,13.7,0.2,,,1.0,2.55,,0.4773,0.0676,11.89203011199236,25.26,44.3,2.0,32.3,14.2,0.0,347.0,82.5,0.462,0.1283,73.0,819.0,,270.0,0.0209,-66.0,,75.0,97.9,10.0,0.99,84.5,,16.0,,2.0,0.5566,,1705.0,10.41,1.42,0.822,12.0,13.72,0.3795,0.2165,0.047,-7.6,2.93,20.9,80.3,36.2,1.34,80.7,221.0,0.9321,94.9,27.6,2.21,,3.5,0.7019,0.3321,5.01,0.0688,,0.2157,,,90.7,0.1039,9.75,
8748,TRAIN_008748,WH_262,SC_06040,19.0,15.0,1.32,0.0,0.1053,0.1053,0.2775,4,61,9,0.0541,18.17,0.0,49.52,17.9,0.1081,7.0,25.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3393,,2.145159060250862,,,3.0,30.9,29.2,8.4,800.0,74.1,0.2656,0.0915,63.5,772.0,5.0,284.0,,,35.5,,68.1,8.0,0.9681,,0.9598,10.0,7.0,0.0,0.4353,2.66,2455.0,4.06,3.16,0.7578,9.0,7.17,0.2041,0.2062,0.015,-17.2,2.24,21.8,87.5,4.8,6.62,86.8,281.0,0.8722,78.6,34.9,0.23,80.7,1.37,0.5971,0.4779,8.26,0.0989,5.71,0.0235,6.7,1.42,99.5,0.1355,9.75,93.5
111049,TRAIN_111049,WH_080,SC_07002,42.0,38.0,2.14,0.0238,0.2857,0.0952,,6,59,0,0.0923,50.48,,,15.08,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.041,1.0,0.0938,15.615619702697543,21.22,,1.0,,37.2,20.8,362.0,79.5,,0.0126,0.0,708.0,26.7,250.0,0.0017,-63.6,35.4,72.0,80.6,18.0,0.9321,100.0,0.132,11.0,19.0,3.0,0.3541,0.76,1763.0,11.71,2.91,0.7764,9.0,9.43,0.3383,,0.1113,-3.3,3.47,38.4,83.5,58.8,6.13,,139.0,,94.9,28.2,1.97,71.1,4.54,0.6969,,,0.1013,7.37,0.1004,25.2,10.27,,0.0896,4.27,96.97
184476,TRAIN_184476,WH_159,SC_07106,120.0,75.0,1.41,0.0417,0.1417,0.1167,0.2941,20,0,0,1.0,68.13,0.0,,15.83,0.0,0.0,0.0,11.63,0.1,0.0,0.0,0.0,,0.0,0.6173,0.1032,23.5827845045527,26.23,45.7,4.0,40.0,,18.2,496.0,53.6,0.3553,0.1012,78.3,1045.0,,276.0,0.0283,-53.4,30.6,115.0,94.5,7.0,0.9929,70.9,0.3439,8.0,43.0,6.0,0.6019,,1502.0,10.75,0.98,,,10.9,0.0626,0.3142,,-19.6,0.56,27.2,82.3,52.3,,83.2,299.0,0.9889,,,1.26,82.0,,0.4075,0.7273,10.02,0.2323,2.85,0.2378,16.1,2.91,75.1,0.0375,2.95,96.17
109078,TRAIN_109078,WH_067,SC_05654,5.0,6.0,1.6,0.0,,0.2,0.1713,1,20,0,0.0476,10.9,0.0,64.85,16.95,0.0,,0.0,,,,,0.0,0.0,0.0232,0.0175,0.049,6.150556690092006,27.94,41.2,1.0,22.3,50.0,,422.0,89.7,0.1154,0.095,,711.0,61.2,464.0,0.0302,-34.1,44.7,13.0,100.0,12.0,0.9538,52.8,0.4254,10.0,5.0,4.0,0.4867,2.02,290.0,9.38,,0.8218,13.0,5.15,0.55,0.0519,0.233,-11.0,0.61,45.3,81.4,2.9,7.15,83.8,,0.9276,,10.3,1.82,69.4,4.43,0.6359,,,0.1812,6.27,0.1483,11.3,7.93,99.6,,8.41,98.06
