ID,stress_score
TEST_0000,0.17233595
TEST_0001,0.1867116
TEST_0002,0.3686821
TEST_0003,0.47672814
TEST_0004,0.59980553
TEST_0005,0.50791085
TEST_0006,0.7801477
TEST_0007,0.27754802
TEST_0008,0.2510878
TEST_0009,0.4059954
TEST_0010,0.7003194
TEST_0011,0.3289116
TEST_0012,0.1792015
TEST_0013,0.8252284
TEST_0014,0.19165216
TEST_0015,0.44050255
TEST_0016,0.4693766
TEST_0017,0.30186054
TEST_0018,0.61018085
TEST_0019,0.68420506
TEST_0020,0.2081336
TEST_0021,0.36243924
TEST_0022,0.4439241
TEST_0023,0.62237316
TEST_0024,0.5895757
TEST_0025,0.4799885
TEST_0026,0.6837091
TEST_0027,0.5098467
TEST_0028,0.69274044
TEST_0029,0.25500223
TEST_0030,0.40512323
TEST_0031,0.4435849
TEST_0032,0.50942
TEST_0033,0.3879669
TEST_0034,0.3668751
TEST_0035,0.6946115
TEST_0036,0.64875937
TEST_0037,0.5186318
TEST_0038,0.59669197
TEST_0039,0.69925547
TEST_0040,0.6942203
TEST_0041,0.46508715
TEST_0042,0.29426
TEST_0043,0.41539854
TEST_0044,0.33216316
TEST_0045,0.5756571
TEST_0046,0.57533145
TEST_0047,0.6557318
TEST_0048,0.3844685
TEST_0049,0.66136456
TEST_0050,0.4632809
TEST_0051,0.36724108
TEST_0052,0.6642066
TEST_0053,0.29902047
TEST_0054,0.3902676
TEST_0055,0.5276916
TEST_0056,0.5061701
TEST_0057,0.3177611
TEST_0058,0.5185062
TEST_0059,0.7526501
TEST_0060,0.72401595
TEST_0061,0.3316419
TEST_0062,0.39881197
TEST_0063,0.820496
TEST_0064,0.59505373
TEST_0065,0.45341235
TEST_0066,0.49361143
TEST_0067,0.37558392
TEST_0068,0.5026276
TEST_0069,0.6200741
TEST_0070,0.4737597
TEST_0071,0.57272124
TEST_0072,0.39014292
TEST_0073,0.24374114
TEST_0074,0.64270395
TEST_0075,0.16598791
TEST_0076,0.49461758
TEST_0077,0.40482053
TEST_0078,0.5496309
TEST_0079,0.42591915
