ID,stress_score
TEST_0000,0.61532086
TEST_0001,0.94630015
TEST_0002,0.28437445
TEST_0003,0.41292566
TEST_0004,0.6345189
TEST_0005,0.57455087
TEST_0006,0.76417214
TEST_0007,0.34816673
TEST_0008,0.39918548
TEST_0009,0.6527022
TEST_0010,0.67652225
TEST_0011,0.5060121
TEST_0012,0.6219927
TEST_0013,0.62751174
TEST_0014,0.5636277
TEST_0015,0.5960279
TEST_0016,0.4623858
TEST_0017,0.18830715
TEST_0018,0.51334023
TEST_0019,0.82458436
TEST_0020,0.4171005
TEST_0021,0.5887196
TEST_0022,0.6299267
TEST_0023,0.6990454
TEST_0024,0.39231688
TEST_0025,0.56120205
TEST_0026,0.67117274
TEST_0027,0.4314808
TEST_0028,0.4905686
TEST_0029,0.57749313
TEST_0030,0.48900256
TEST_0031,0.51727456
TEST_0032,0.35899657
TEST_0033,0.60750467
TEST_0034,0.6728747
TEST_0035,0.7631124
TEST_0036,0.5195439
TEST_0037,0.45753413
TEST_0038,0.52423966
TEST_0039,0.5949954
TEST_0040,0.41321003
TEST_0041,0.405234
TEST_0042,0.777372
TEST_0043,0.34084657
TEST_0044,0.32142153
TEST_0045,0.49592137
TEST_0046,0.49724457
TEST_0047,0.63881826
TEST_0048,0.3964964
TEST_0049,0.6361966
TEST_0050,0.58384764
TEST_0051,0.75074637
TEST_0052,0.7531695
TEST_0053,0.52657926
TEST_0054,0.23686127
TEST_0055,0.6367153
TEST_0056,0.43759793
TEST_0057,0.59298027
TEST_0058,0.36726496
TEST_0059,0.6688345
TEST_0060,0.56166446
TEST_0061,0.45495507
TEST_0062,0.36731392
TEST_0063,0.7780253
TEST_0064,0.45457357
TEST_0065,0.5765039
TEST_0066,0.3895594
TEST_0067,0.3588969
TEST_0068,0.37590164
TEST_0069,0.5832745
TEST_0070,0.45954698
TEST_0071,0.488756
TEST_0072,0.36827675
TEST_0073,0.47257498
TEST_0074,0.5314577
TEST_0075,0.14284572
TEST_0076,0.52512807
TEST_0077,0.39199767
TEST_0078,0.32337427
TEST_0079,0.41977832
TEST_0080,0.36231434
TEST_0081,0.3380182
TEST_0082,0.5734235
TEST_0083,0.4749935
TEST_0084,0.33511266
TEST_0085,0.5121433
TEST_0086,0.48085764
TEST_0087,0.7596591
TEST_0088,0.27504408
TEST_0089,0.60596216
TEST_0090,0.5781461
TEST_0091,0.35841525
TEST_0092,0.77638274
TEST_0093,0.21928957
TEST_0094,0.37177444
TEST_0095,0.53675103
TEST_0096,0.5557697
TEST_0097,0.7946478
TEST_0098,0.22161861
TEST_0099,0.8203885
TEST_0100,0.4970487
TEST_0101,0.7270577
TEST_0102,0.6448177
TEST_0103,0.80093706
TEST_0104,0.528368
TEST_0105,0.75176
TEST_0106,0.3452027
TEST_0107,0.3710754
TEST_0108,0.6358761
TEST_0109,0.36312595
TEST_0110,0.53842354
TEST_0111,0.3764407
TEST_0112,0.39066103
TEST_0113,0.77514565
TEST_0114,0.5455979
TEST_0115,0.5463248
TEST_0116,0.46703577
TEST_0117,0.4036911
TEST_0118,0.6200767
TEST_0119,0.61550945
TEST_0120,0.6297504
TEST_0121,0.4912335
TEST_0122,0.48995543
TEST_0123,0.54725164
TEST_0124,0.28085786
TEST_0125,0.77428293
TEST_0126,0.5817222
TEST_0127,0.70044005
TEST_0128,0.57307774
TEST_0129,0.35270518
TEST_0130,0.5348768
TEST_0131,0.30864218
TEST_0132,0.7621902
TEST_0133,0.36242062
TEST_0134,0.6844373
TEST_0135,0.42766303
TEST_0136,0.2072498
TEST_0137,0.8108947
TEST_0138,0.2515719
TEST_0139,0.25342438
TEST_0140,0.53673136
TEST_0141,0.3208985
TEST_0142,0.5468547
TEST_0143,0.46474326
TEST_0144,0.64929163
TEST_0145,0.7170232
TEST_0146,0.5096023
TEST_0147,0.4065027
TEST_0148,0.22095574
TEST_0149,0.63953197
TEST_0150,0.47522414
TEST_0151,0.48437992
TEST_0152,0.5299082
TEST_0153,0.08704198
TEST_0154,0.41752386
TEST_0155,0.42633894
TEST_0156,0.3425239
TEST_0157,0.8850044
TEST_0158,0.47599187
TEST_0159,0.71045
TEST_0160,0.31852654
TEST_0161,0.032336295
TEST_0162,0.5571213
TEST_0163,0.7190525
TEST_0164,0.45088995
TEST_0165,0.710361
TEST_0166,0.50001705
TEST_0167,0.73081523
TEST_0168,0.33948487
TEST_0169,0.22141933
TEST_0170,0.6816913
TEST_0171,0.62545186
TEST_0172,0.70933414
TEST_0173,0.4752729
TEST_0174,0.69356334
TEST_0175,0.4276518
TEST_0176,0.5340452
TEST_0177,0.64212364
TEST_0178,0.51757145
TEST_0179,0.6918298
TEST_0180,0.18285626
TEST_0181,0.47996268
TEST_0182,0.54969466
TEST_0183,0.47614297
TEST_0184,0.41715318
TEST_0185,0.10056599
TEST_0186,0.5289516
TEST_0187,0.1853952
TEST_0188,0.4402553
TEST_0189,0.6232835
TEST_0190,0.38865763
TEST_0191,0.44522834
TEST_0192,0.16936849
TEST_0193,0.42405877
TEST_0194,0.4174677
TEST_0195,0.07613993
TEST_0196,0.28383738
TEST_0197,0.2742375
TEST_0198,0.70683634
TEST_0199,0.30999815
TEST_0200,0.3056964
TEST_0201,0.5967909
TEST_0202,0.43672258
TEST_0203,0.20040509
TEST_0204,0.20460948
TEST_0205,0.5118778
TEST_0206,0.45980322
TEST_0207,0.4663883
TEST_0208,0.7479094
TEST_0209,0.45350558
TEST_0210,0.37562722
TEST_0211,0.7416356
TEST_0212,0.8086447
TEST_0213,0.6396665
TEST_0214,0.82481146
TEST_0215,0.48506832
TEST_0216,0.40879577
