ID,stress_score
TEST_0000,0.5419097
TEST_0001,0.8336682
TEST_0002,0.31564716
TEST_0003,0.3938087
TEST_0004,0.43422133
TEST_0005,0.6800249
TEST_0006,0.81325793
TEST_0007,0.40663424
TEST_0008,0.4297333
TEST_0009,0.6208015
TEST_0010,0.94045997
TEST_0011,0.564436
TEST_0012,0.61244464
TEST_0013,0.7713791
TEST_0014,0.55942816
TEST_0015,0.5907773
TEST_0016,0.4863075
TEST_0017,0.2590742
TEST_0018,0.29958653
TEST_0019,0.8081843
TEST_0020,0.44400522
TEST_0021,0.5709253
TEST_0022,0.46618608
TEST_0023,0.3908169
TEST_0024,0.60753584
TEST_0025,0.59388477
TEST_0026,0.5989877
TEST_0027,0.49541724
TEST_0028,0.6410626
TEST_0029,0.5329553
TEST_0030,0.5346304
TEST_0031,0.6778309
TEST_0032,0.37962204
TEST_0033,0.27527237
TEST_0034,0.7305148
TEST_0035,0.90318984
TEST_0036,0.55275315
TEST_0037,0.36127368
TEST_0038,0.4572147
TEST_0039,0.4859184
TEST_0040,0.44620448
TEST_0041,0.49444956
TEST_0042,0.74435794
TEST_0043,0.40537074
TEST_0044,0.52282923
TEST_0045,0.67141014
TEST_0046,0.56504935
TEST_0047,0.2914491
TEST_0048,0.33126554
TEST_0049,0.4577447
TEST_0050,0.51035357
TEST_0051,0.7717973
TEST_0052,0.69172597
TEST_0053,0.50343555
TEST_0054,0.45383933
TEST_0055,0.54030585
TEST_0056,0.2783337
TEST_0057,0.5741325
TEST_0058,0.4122926
TEST_0059,0.69941163
TEST_0060,0.75666547
TEST_0061,0.40739915
TEST_0062,0.27487454
TEST_0063,0.80964446
TEST_0064,0.671186
TEST_0065,0.6092469
TEST_0066,0.4569272
TEST_0067,0.31801674
TEST_0068,0.47008198
TEST_0069,0.6086329
TEST_0070,0.52037203
TEST_0071,0.3605265
TEST_0072,0.39071536
TEST_0073,0.64369935
TEST_0074,0.6712709
TEST_0075,0.25181672
TEST_0076,0.45262334
TEST_0077,0.29191253
TEST_0078,0.3659741
TEST_0079,0.4858608
TEST_0080,0.36431378
TEST_0081,0.31552202
TEST_0082,0.43025622
TEST_0083,0.50711095
TEST_0084,0.23034172
TEST_0085,0.43935844
TEST_0086,0.3442168
TEST_0087,0.78941476
TEST_0088,0.33485317
TEST_0089,0.59494174
TEST_0090,0.6403222
TEST_0091,0.609463
TEST_0092,0.84560186
TEST_0093,0.2910728
TEST_0094,0.6105225
TEST_0095,0.423756
TEST_0096,0.45949787
TEST_0097,0.6589095
TEST_0098,-0.033681374
TEST_0099,0.52208525
TEST_0100,0.49180433
TEST_0101,0.51436543
TEST_0102,0.66588706
TEST_0103,0.82846135
TEST_0104,0.4423789
TEST_0105,0.80805326
TEST_0106,0.41207054
TEST_0107,0.3851159
TEST_0108,0.5145128
TEST_0109,0.34699246
TEST_0110,0.6117621
TEST_0111,0.25595343
TEST_0112,0.35191968
TEST_0113,0.63598394
TEST_0114,0.5837177
TEST_0115,0.54018384
TEST_0116,0.3790423
TEST_0117,0.4538895
TEST_0118,0.8149292
TEST_0119,0.73244196
TEST_0120,0.5708437
TEST_0121,0.25166902
TEST_0122,0.6264721
TEST_0123,0.5564062
TEST_0124,0.3670998
TEST_0125,0.8339924
TEST_0126,0.60497254
TEST_0127,0.5445961
TEST_0128,0.57525474
TEST_0129,0.5914796
TEST_0130,0.41302332
TEST_0131,0.578669
TEST_0132,0.79294354
TEST_0133,0.40559056
TEST_0134,0.7603043
TEST_0135,0.45993358
TEST_0136,0.24233791
TEST_0137,0.7640899
TEST_0138,0.001023106
TEST_0139,0.20486256
TEST_0140,0.33892435
TEST_0141,0.6026513
TEST_0142,0.5776262
TEST_0143,0.47363237
TEST_0144,0.41039178
TEST_0145,0.67393565
TEST_0146,0.61541456
TEST_0147,0.2998904
TEST_0148,0.18573354
TEST_0149,0.47440645
TEST_0150,0.42849073
TEST_0151,0.40554878
TEST_0152,0.42273802
TEST_0153,0.14885943
TEST_0154,0.464961
TEST_0155,0.49171114
TEST_0156,0.5811388
TEST_0157,0.785075
TEST_0158,0.48821193
TEST_0159,0.53697205
TEST_0160,0.3714567
TEST_0161,0.13826738
TEST_0162,0.50643915
TEST_0163,0.46128398
TEST_0164,0.5115273
TEST_0165,0.7034805
TEST_0166,0.37572193
TEST_0167,0.65295804
TEST_0168,0.26460955
TEST_0169,0.51404953
TEST_0170,0.7863861
TEST_0171,0.9629462
TEST_0172,0.6024454
TEST_0173,0.5826943
TEST_0174,0.54835415
TEST_0175,0.42800894
TEST_0176,0.44686842
TEST_0177,0.7556164
TEST_0178,0.38671643
TEST_0179,0.829604
TEST_0180,0.19346628
TEST_0181,0.511118
TEST_0182,0.52055496
TEST_0183,0.46405315
TEST_0184,0.4002978
TEST_0185,0.055907905
TEST_0186,0.55590147
TEST_0187,0.15480393
TEST_0188,0.2991007
TEST_0189,0.15532894
TEST_0190,0.45942056
TEST_0191,0.21577662
TEST_0192,0.24206051
TEST_0193,0.22314838
TEST_0194,0.46965653
TEST_0195,0.37858987
TEST_0196,0.5018746
TEST_0197,0.34840527
TEST_0198,0.57697785
TEST_0199,0.4958464
TEST_0200,0.460758
TEST_0201,0.49730816
TEST_0202,0.41228136
TEST_0203,0.21960682
TEST_0204,0.19003151
TEST_0205,0.5400719
TEST_0206,0.35932037
TEST_0207,0.510047
TEST_0208,0.7174885
TEST_0209,0.34977043
TEST_0210,0.45487964
TEST_0211,0.6155438
TEST_0212,0.7283428
TEST_0213,0.6781574
TEST_0214,0.8260194
TEST_0215,0.45117456
TEST_0216,0.4654524
TEST_0217,0.25180444
TEST_0218,0.37384832
TEST_0219,0.4192917
TEST_0220,0.4095146
TEST_0221,0.58977586
TEST_0222,0.4082582
TEST_0223,0.5450079
TEST_0224,0.60745424
TEST_0225,0.40919957
TEST_0226,0.39268935
TEST_0227,0.52262485
TEST_0228,0.6295272
TEST_0229,0.41138643
TEST_0230,0.6062936
TEST_0231,0.53442615
TEST_0232,0.5088192
TEST_0233,0.60596704
TEST_0234,0.40366867
TEST_0235,0.80490804
TEST_0236,0.47656828
TEST_0237,0.31936818
TEST_0238,0.29991665
TEST_0239,0.6603662
TEST_0240,0.34482858
TEST_0241,0.9087122
TEST_0242,0.6075383
TEST_0243,0.52032053
TEST_0244,0.39075452
TEST_0245,0.7522682
TEST_0246,0.45288774
TEST_0247,0.5563667
TEST_0248,0.5173103
TEST_0249,0.5930628
TEST_0250,0.03596092
TEST_0251,0.7545163
TEST_0252,0.6583598
TEST_0253,0.38643017
TEST_0254,0.42413256
TEST_0255,0.39240733
TEST_0256,0.27906907
TEST_0257,0.6727146
TEST_0258,0.6062229
TEST_0259,0.049539544
TEST_0260,0.29650363
TEST_0261,0.5545795
TEST_0262,0.61124206
TEST_0263,0.87766844
TEST_0264,0.3821329
TEST_0265,0.2473374
TEST_0266,0.3644832
TEST_0267,0.48703322
TEST_0268,0.369611
TEST_0269,0.4882873
TEST_0270,0.28238076
TEST_0271,0.48229006
TEST_0272,0.72194743
TEST_0273,0.4902308
TEST_0274,0.5708553
TEST_0275,0.19779958
TEST_0276,0.7263418
TEST_0277,0.6371476
TEST_0278,0.5041843
TEST_0279,0.4830197
TEST_0280,0.38730314
TEST_0281,0.3462865
TEST_0282,0.3376569
TEST_0283,0.51894534
TEST_0284,0.665701
TEST_0285,0.5681814
TEST_0286,0.92505074
TEST_0287,0.41741508
TEST_0288,0.27596775
TEST_0289,0.33031124
TEST_0290,0.8292961
TEST_0291,0.54840124
TEST_0292,0.47392935
TEST_0293,0.41793147
TEST_0294,0.49474558
TEST_0295,0.5501348
TEST_0296,0.15142342
TEST_0297,0.5610773
TEST_0298,0.515375
TEST_0299,0.44921342
TEST_0300,0.5901632
TEST_0301,0.6299766
TEST_0302,0.53936464
TEST_0303,0.18459153
TEST_0304,0.44716668
TEST_0305,0.30663332
TEST_0306,0.61669296
TEST_0307,0.34592167
TEST_0308,0.32274702
TEST_0309,0.21415743
TEST_0310,0.30751416
TEST_0311,0.1566571
TEST_0312,0.7399622
TEST_0313,0.36969513
TEST_0314,0.91272837
TEST_0315,0.452288
TEST_0316,0.11262703
TEST_0317,0.47859183
TEST_0318,0.7336763
TEST_0319,0.8590314
TEST_0320,0.68639064
TEST_0321,0.20895207
TEST_0322,0.6127899
TEST_0323,0.78083014
TEST_0324,0.71878445
TEST_0325,0.3337985
TEST_0326,0.44142315
TEST_0327,0.3774597
TEST_0328,0.64680123
TEST_0329,0.3718321
TEST_0330,0.8047296
TEST_0331,0.5513088
TEST_0332,0.30725718
TEST_0333,0.52690864
TEST_0334,0.45746064
TEST_0335,0.50051075
TEST_0336,0.49676546
TEST_0337,0.38914305
TEST_0338,0.9054359
TEST_0339,0.5498109
TEST_0340,0.54908115
TEST_0341,0.41093653
TEST_0342,0.52830935
TEST_0343,0.28977713
TEST_0344,0.20422164
TEST_0345,0.6190899
TEST_0346,0.46140984
TEST_0347,0.602079
TEST_0348,0.5725819
TEST_0349,0.54623616
TEST_0350,0.4963224
TEST_0351,0.7647525
TEST_0352,0.48695922
TEST_0353,0.53555167
TEST_0354,0.40737438
TEST_0355,0.8052499
TEST_0356,0.60104316
TEST_0357,0.709215
TEST_0358,0.5718668
TEST_0359,0.5241875
TEST_0360,0.61218524
TEST_0361,0.9304461
TEST_0362,0.59760565
TEST_0363,0.53368986
TEST_0364,0.3675253
TEST_0365,0.0900933
TEST_0366,0.4939047
TEST_0367,0.5692037
TEST_0368,0.47810525
TEST_0369,0.51612455
TEST_0370,0.2561423
TEST_0371,0.32475838
TEST_0372,0.41739655
TEST_0373,0.44111812
TEST_0374,0.6386258
TEST_0375,0.45955887
TEST_0376,0.57204145
TEST_0377,0.22501826
TEST_0378,0.56136674
TEST_0379,0.40668204
TEST_0380,0.56793165
TEST_0381,0.5021544
TEST_0382,0.15213214
TEST_0383,0.7537123
TEST_0384,0.29721823
TEST_0385,0.30285308
TEST_0386,0.46922928
TEST_0387,0.6560848
TEST_0388,0.54388213
TEST_0389,0.6086043
TEST_0390,0.5118329
TEST_0391,0.38805404
TEST_0392,0.3466984
TEST_0393,0.25599068
TEST_0394,0.045855302
TEST_0395,0.4749311
TEST_0396,0.3616645
TEST_0397,0.5208529
TEST_0398,0.23064466
TEST_0399,0.69780815
TEST_0400,0.5009985
TEST_0401,0.5826819
TEST_0402,0.43773788
TEST_0403,0.4466354
TEST_0404,0.48682052
TEST_0405,0.40441364
TEST_0406,0.5294601
TEST_0407,0.28427082
TEST_0408,0.72411126
TEST_0409,0.5049756
TEST_0410,0.42443132
TEST_0411,0.95010513
TEST_0412,0.43587765
TEST_0413,0.3438792
TEST_0414,0.6118703
TEST_0415,0.32952866
TEST_0416,0.6691729
TEST_0417,0.32904506
TEST_0418,0.33654162
TEST_0419,0.65764886
TEST_0420,0.6310755
TEST_0421,0.6527583
TEST_0422,0.5607593
TEST_0423,0.4249213
TEST_0424,0.29638013
TEST_0425,0.7531345
TEST_0426,0.53037065
TEST_0427,0.45797804
TEST_0428,0.3720677
TEST_0429,0.6579524
TEST_0430,0.08237971
TEST_0431,0.46527717
TEST_0432,0.26865548
TEST_0433,0.5959755
TEST_0434,0.6301015
TEST_0435,0.44523674
TEST_0436,0.21461433
TEST_0437,0.4083551
TEST_0438,0.11125632
TEST_0439,0.13046066
TEST_0440,0.5485507
TEST_0441,0.42074457
TEST_0442,0.48966798
TEST_0443,0.8197995
TEST_0444,0.3526678
TEST_0445,0.13933057
TEST_0446,0.5385865
TEST_0447,0.59902716
TEST_0448,0.09340938
TEST_0449,0.47940412
TEST_0450,0.4502529
TEST_0451,0.33331645
TEST_0452,0.49730816
TEST_0453,0.6754866
TEST_0454,0.56154025
TEST_0455,0.32108557
TEST_0456,0.8225528
TEST_0457,0.20462494
TEST_0458,0.5396922
TEST_0459,0.3460293
TEST_0460,0.77537197
