ID,stress_score
TEST_0000,0.41718057
TEST_0001,0.96812034
TEST_0002,0.27629367
TEST_0003,0.4777876
TEST_0004,0.5244757
TEST_0005,0.7485571
TEST_0006,0.65858865
TEST_0007,0.24732913
TEST_0008,0.4360677
TEST_0009,0.86955047
TEST_0010,0.7762959
TEST_0011,0.38765624
TEST_0012,0.6512653
TEST_0013,0.74828357
TEST_0014,0.6257968
TEST_0015,0.6098409
TEST_0016,0.48808616
TEST_0017,0.27030304
TEST_0018,0.29960185
TEST_0019,0.59096617
TEST_0020,0.41934824
TEST_0021,0.5101667
TEST_0022,0.5163381
TEST_0023,0.5974453
TEST_0024,0.72357243
TEST_0025,0.586949
TEST_0026,0.6249999
TEST_0027,0.477822
TEST_0028,0.61666054
TEST_0029,0.6127298
TEST_0030,0.62294465
TEST_0031,0.6782485
TEST_0032,0.3283705
TEST_0033,0.54198605
TEST_0034,0.5527846
TEST_0035,0.6590995
TEST_0036,0.4219946
TEST_0037,0.307622
TEST_0038,0.5051138
TEST_0039,0.48775893
TEST_0040,0.46220827
TEST_0041,0.5038319
TEST_0042,0.7603686
TEST_0043,0.17208035
TEST_0044,0.5679364
TEST_0045,0.5199888
TEST_0046,0.33469626
TEST_0047,0.5151387
TEST_0048,0.39814135
TEST_0049,0.43415135
TEST_0050,0.5576154
TEST_0051,0.7371917
TEST_0052,0.7168677
TEST_0053,0.56678224
TEST_0054,0.24264695
TEST_0055,0.33826095
TEST_0056,0.45158795
TEST_0057,0.4523871
TEST_0058,0.2993225
TEST_0059,0.6522625
TEST_0060,0.5820416
TEST_0061,0.57856905
TEST_0062,0.6278861
TEST_0063,0.68952304
TEST_0064,0.35936904
TEST_0065,0.6594594
TEST_0066,0.44975603
TEST_0067,0.42833242
TEST_0068,0.20741336
TEST_0069,0.5274594
TEST_0070,0.45947838
TEST_0071,0.5193563
TEST_0072,0.32601222
TEST_0073,0.6328213
TEST_0074,0.54864943
TEST_0075,0.17926295
TEST_0076,0.44846383
TEST_0077,0.45634195
TEST_0078,0.5969284
TEST_0079,0.70866144
TEST_0080,0.32046062
TEST_0081,0.31614348
TEST_0082,0.51042515
TEST_0083,0.4986158
TEST_0084,0.28109452
TEST_0085,0.5291915
TEST_0086,0.44737554
TEST_0087,0.7570249
TEST_0088,0.35030183
TEST_0089,0.7481358
TEST_0090,0.75661534
TEST_0091,0.4953222
TEST_0092,0.88835263
TEST_0093,0.13814448
TEST_0094,0.44819537
TEST_0095,0.47120774
TEST_0096,0.52506185
TEST_0097,0.66865116
TEST_0098,0.1842734
TEST_0099,0.643899
TEST_0100,0.47002986
TEST_0101,0.549789
TEST_0102,0.7346028
TEST_0103,0.7552441
TEST_0104,0.4919264
TEST_0105,0.80609393
TEST_0106,0.25987312
TEST_0107,0.41922742
TEST_0108,0.6198677
TEST_0109,0.39382234
TEST_0110,0.5852328
TEST_0111,0.2476367
TEST_0112,0.38536677
TEST_0113,0.54491687
TEST_0114,0.52243525
TEST_0115,0.5468378
TEST_0116,0.41610795
TEST_0117,0.36734036
TEST_0118,0.8917731
TEST_0119,0.71553427
TEST_0120,0.6811259
TEST_0121,0.34551236
TEST_0122,0.5497987
TEST_0123,0.55121416
TEST_0124,0.32828408
TEST_0125,0.83075124
TEST_0126,0.6165014
TEST_0127,0.62633955
TEST_0128,0.57791394
