ID,stress_score
TEST_0000,0.72048557
TEST_0001,0.8332599
TEST_0002,0.22755602
TEST_0003,0.33396885
TEST_0004,0.57120484
TEST_0005,0.7737366
TEST_0006,0.8230369
TEST_0007,0.47510576
TEST_0008,0.4465071
TEST_0009,0.74999386
TEST_0010,0.89183885
TEST_0011,0.3781878
TEST_0012,0.6269742
TEST_0013,0.85177845
TEST_0014,0.5915481
TEST_0015,0.60022503
TEST_0016,0.37089643
TEST_0017,0.1730625
TEST_0018,0.6175992
TEST_0019,0.7826772
TEST_0020,0.4169106
TEST_0021,0.5416398
TEST_0022,0.510523
TEST_0023,0.5510937
TEST_0024,0.44939432
TEST_0025,0.4905192
TEST_0026,0.4111119
TEST_0027,0.5008807
TEST_0028,0.50596523
TEST_0029,0.49848506
TEST_0030,0.6058723
TEST_0031,0.73060685
TEST_0032,0.35141605
TEST_0033,0.46325797
TEST_0034,0.5362568
TEST_0035,0.763366
TEST_0036,0.52724797
TEST_0037,0.2987172
TEST_0038,0.44266656
TEST_0039,0.51937413
TEST_0040,0.42072117
TEST_0041,0.47763503
TEST_0042,0.7706484
TEST_0043,0.41295546
TEST_0044,0.25005576
TEST_0045,0.45523635
TEST_0046,0.47220767
TEST_0047,0.2615919
TEST_0048,0.3597436
TEST_0049,0.45821542
TEST_0050,0.5826156
TEST_0051,0.7733223
TEST_0052,0.6449936
TEST_0053,0.49089023
TEST_0054,0.3374272
TEST_0055,0.48891726
TEST_0056,0.3580002
TEST_0057,0.4963675
TEST_0058,0.35627583
TEST_0059,0.66749215
TEST_0060,0.72246706
TEST_0061,0.56621516
TEST_0062,0.40957835
TEST_0063,0.67006594
TEST_0064,0.4429715
TEST_0065,0.5620701
TEST_0066,0.43036452
TEST_0067,0.40509564
TEST_0068,0.34419495
TEST_0069,0.6329855
TEST_0070,0.49895194
TEST_0071,0.5727351
TEST_0072,0.30755788
TEST_0073,0.63783646
TEST_0074,0.5321156
TEST_0075,0.16664007
TEST_0076,0.5176043
TEST_0077,0.4521754
TEST_0078,0.5097952
TEST_0079,0.38568056
TEST_0080,0.3690613
TEST_0081,0.3881323
TEST_0082,0.52376574
TEST_0083,0.44352287
TEST_0084,0.22569749
TEST_0085,0.53138757
TEST_0086,0.36276472
TEST_0087,0.80817664
TEST_0088,0.42843077
TEST_0089,0.6463566
TEST_0090,0.5255209
