ID,stress_score
TEST_0000,0.565334
TEST_0001,0.8777889
TEST_0002,0.21459815
TEST_0003,0.40027437
TEST_0004,0.54563206
TEST_0005,0.7844697
TEST_0006,0.74076045
TEST_0007,0.45145145
TEST_0008,0.5067004
TEST_0009,0.9061206
TEST_0010,0.726686
TEST_0011,0.20949957
TEST_0012,0.6043556
TEST_0013,0.8188462
TEST_0014,0.54511386
TEST_0015,0.5545503
TEST_0016,0.57733274
TEST_0017,0.24841645
TEST_0018,0.46844044
TEST_0019,0.61051637
TEST_0020,0.32285115
TEST_0021,0.53350496
TEST_0022,0.5067774
TEST_0023,0.50577134
TEST_0024,0.8005041
TEST_0025,0.578119
TEST_0026,0.91705155
TEST_0027,0.52257234
TEST_0028,0.6858402
TEST_0029,0.51652867
TEST_0030,0.39992666
TEST_0031,0.31398186
TEST_0032,0.24715978
TEST_0033,0.6150651
TEST_0034,0.41711196
TEST_0035,0.5591812
TEST_0036,0.5160459
TEST_0037,0.31323096
TEST_0038,0.53385955
TEST_0039,0.64821666
TEST_0040,0.43482417
TEST_0041,0.40147457
TEST_0042,0.70246744
TEST_0043,0.49639264
TEST_0044,0.4064004
TEST_0045,0.56195176
TEST_0046,0.35747898
TEST_0047,0.71267796
TEST_0048,0.33940285
TEST_0049,0.38042164
TEST_0050,0.55861735
TEST_0051,0.78124464
TEST_0052,0.44307423
TEST_0053,0.6571237
TEST_0054,0.24843249
TEST_0055,0.42093554
TEST_0056,0.24088919
TEST_0057,0.4674351
TEST_0058,0.29031447
TEST_0059,0.7183392
TEST_0060,0.8287425
TEST_0061,0.5288387
TEST_0062,0.6839883
TEST_0063,0.72970384
TEST_0064,0.32982692
TEST_0065,0.45965376
TEST_0066,0.4851482
TEST_0067,0.3445526
TEST_0068,0.2034012
TEST_0069,0.6489142
TEST_0070,0.58639073
TEST_0071,0.4177589
TEST_0072,0.3753
TEST_0073,0.63748866
TEST_0074,0.50805575
TEST_0075,0.1953751
TEST_0076,0.46779507
TEST_0077,0.3608614
TEST_0078,0.3327167
TEST_0079,0.559125
TEST_0080,0.53157735
TEST_0081,0.26310894
TEST_0082,0.53583837
TEST_0083,0.5273402
TEST_0084,0.3372141
TEST_0085,0.51082087
TEST_0086,0.33840322
TEST_0087,0.6536534
TEST_0088,0.4253236
TEST_0089,0.6622019
TEST_0090,0.53435606
TEST_0091,0.5501782
TEST_0092,0.8472784
TEST_0093,0.23573709
TEST_0094,0.40013367
TEST_0095,0.42465165
TEST_0096,0.50609565
TEST_0097,0.6376893
TEST_0098,0.22772565
TEST_0099,0.3933045
TEST_0100,0.47440383
TEST_0101,0.5630836
TEST_0102,0.67694104
TEST_0103,0.839111
TEST_0104,0.36953977
TEST_0105,0.7125111
TEST_0106,0.3895955
TEST_0107,0.3195203
TEST_0108,0.6204672
TEST_0109,0.09575627
TEST_0110,0.593954
TEST_0111,0.3622584
TEST_0112,0.3848446
TEST_0113,0.5303265
TEST_0114,0.52247936
TEST_0115,0.6237177
TEST_0116,0.4022086
TEST_0117,0.23543434
TEST_0118,0.86669683
TEST_0119,0.6547603
TEST_0120,0.52120763
TEST_0121,0.41008857
