ID,stress_score
TEST_0000,0.7709199
TEST_0001,0.8336278
TEST_0002,0.21840177
TEST_0003,0.4433488
TEST_0004,0.65835637
TEST_0005,0.65697926
TEST_0006,0.8183341
TEST_0007,0.43331814
TEST_0008,0.38619927
TEST_0009,0.85699797
TEST_0010,0.8844834
TEST_0011,0.3989846
TEST_0012,0.6093757
TEST_0013,0.8380095
TEST_0014,0.53305167
TEST_0015,0.5861463
TEST_0016,0.5671919
TEST_0017,0.30865029
TEST_0018,0.66652507
TEST_0019,0.80720514
TEST_0020,0.3350921
TEST_0021,0.5560223
TEST_0022,0.5241451
TEST_0023,0.6741901
TEST_0024,0.46227148
TEST_0025,0.469165
TEST_0026,0.46778515
TEST_0027,0.42450225
TEST_0028,0.44408637
TEST_0029,0.5376944
TEST_0030,0.47056592
TEST_0031,0.7768508
TEST_0032,0.33074546
TEST_0033,0.4352795
TEST_0034,0.5151729
TEST_0035,0.57181424
TEST_0036,0.4971518
TEST_0037,0.45695022
TEST_0038,0.48259452
TEST_0039,0.82490623
TEST_0040,0.42521665
TEST_0041,0.5238944
TEST_0042,0.7470825
TEST_0043,0.29063118
TEST_0044,0.47458547
TEST_0045,0.5468021
TEST_0046,0.49831438
TEST_0047,0.48882616
TEST_0048,0.31206548
TEST_0049,0.37734786
TEST_0050,0.63251865
TEST_0051,0.77828854
TEST_0052,0.7009469
TEST_0053,0.48232567
TEST_0054,0.48247865
TEST_0055,0.626286
TEST_0056,0.30234107
TEST_0057,0.57231784
TEST_0058,0.39832473
TEST_0059,0.7083397
TEST_0060,0.6512993
TEST_0061,0.5245142
TEST_0062,0.4388242
TEST_0063,0.69005877
TEST_0064,0.49727303
TEST_0065,0.49875373
TEST_0066,0.44429088
TEST_0067,0.27530417
TEST_0068,0.44914505
TEST_0069,0.6490567
TEST_0070,0.36156204
TEST_0071,0.34364274
TEST_0072,0.29610032
TEST_0073,0.6289308
TEST_0074,0.39008123
TEST_0075,0.12760359
TEST_0076,0.44321412
TEST_0077,0.3429484
TEST_0078,0.5139694
TEST_0079,0.6279971
TEST_0080,0.5451109
TEST_0081,0.3199093
TEST_0082,0.47166625
TEST_0083,0.545013
TEST_0084,0.17875668
TEST_0085,0.5004154
TEST_0086,0.37644598
TEST_0087,0.81980354
TEST_0088,0.31654304
TEST_0089,0.65404075
TEST_0090,0.5003279
TEST_0091,0.46010077
TEST_0092,0.9025273
TEST_0093,0.15915123
TEST_0094,0.42239636
TEST_0095,0.5082095
TEST_0096,0.47320718
TEST_0097,0.746832
TEST_0098,0.08113015
TEST_0099,0.4267785
TEST_0100,0.47145712
TEST_0101,0.42076182
TEST_0102,0.58662
TEST_0103,0.8008871
TEST_0104,0.48583648
TEST_0105,0.7212854
TEST_0106,0.48211914
TEST_0107,0.38997942
TEST_0108,0.5403396
TEST_0109,0.31069937
TEST_0110,0.42446163
TEST_0111,0.20644134
TEST_0112,0.30239
TEST_0113,0.6464741
TEST_0114,0.6296072
