ID,stress_score
TEST_0000,0.5733799
TEST_0001,0.85879105
TEST_0002,0.21253906
TEST_0003,0.47053286
TEST_0004,0.5523331
TEST_0005,0.75952435
TEST_0006,0.6272499
TEST_0007,0.4856396
TEST_0008,0.42421627
TEST_0009,0.9776901
TEST_0010,0.8262371
TEST_0011,0.30713198
TEST_0012,0.6725815
TEST_0013,0.8476633
TEST_0014,0.51654065
TEST_0015,0.60540247
TEST_0016,0.47655836
TEST_0017,0.21668646
TEST_0018,0.55421644
TEST_0019,0.6160604
TEST_0020,0.5159215
TEST_0021,0.55714035
TEST_0022,0.5577065
TEST_0023,0.55003893
TEST_0024,0.7666716
TEST_0025,0.4360603
TEST_0026,0.77012545
TEST_0027,0.42589214
TEST_0028,0.4696221
TEST_0029,0.5677641
TEST_0030,0.6004706
TEST_0031,0.70271343
TEST_0032,0.25699532
TEST_0033,0.37249666
TEST_0034,0.62415045
TEST_0035,0.58854383
TEST_0036,0.39646736
TEST_0037,0.23139173
TEST_0038,0.563949
TEST_0039,0.4806235
TEST_0040,0.42121723
TEST_0041,0.43884215
TEST_0042,0.7593878
TEST_0043,0.42867774
TEST_0044,0.33157918
TEST_0045,0.55178225
TEST_0046,0.30848303
TEST_0047,0.58801395
TEST_0048,0.5001879
TEST_0049,0.33737287
TEST_0050,0.5391976
TEST_0051,0.73522186
TEST_0052,0.75146055
TEST_0053,0.5378011
TEST_0054,0.5199882
TEST_0055,0.44059724
TEST_0056,0.3742972
TEST_0057,0.6951891
TEST_0058,0.26155034
TEST_0059,0.63695663
TEST_0060,0.8446646
TEST_0061,0.41077596
TEST_0062,0.698393
TEST_0063,0.7238749
TEST_0064,0.40147275
TEST_0065,0.559913
TEST_0066,0.40419078
TEST_0067,0.42644846
TEST_0068,0.2612479
TEST_0069,0.6113893
TEST_0070,0.54244995
TEST_0071,0.48948032
TEST_0072,0.32294762
TEST_0073,0.5879692
TEST_0074,0.5647251
TEST_0075,0.18868947
TEST_0076,0.3074548
TEST_0077,0.37882665
