ID,stress_score
TEST_0000,0.65581155
TEST_0001,0.94665945
TEST_0002,0.21555388
TEST_0003,0.4274356
TEST_0004,0.5648703
TEST_0005,0.7117727
TEST_0006,0.68448484
TEST_0007,0.38524798
TEST_0008,0.44872776
TEST_0009,0.90888226
TEST_0010,0.75525707
TEST_0011,0.3232956
TEST_0012,0.7198092
TEST_0013,0.77524143
TEST_0014,0.69618404
TEST_0015,0.578466
TEST_0016,0.45379126
TEST_0017,0.18650252
TEST_0018,0.5026104
TEST_0019,0.66425747
TEST_0020,0.35436898
TEST_0021,0.5840782
TEST_0022,0.4850515
TEST_0023,0.38878304
TEST_0024,0.7752484
TEST_0025,0.5769961
TEST_0026,0.74941
TEST_0027,0.424919
TEST_0028,0.61128616
TEST_0029,0.63076216
TEST_0030,0.5787243
TEST_0031,0.4327139
TEST_0032,0.37830788
TEST_0033,0.4883564
TEST_0034,0.5477609
TEST_0035,0.62639445
TEST_0036,0.46157268
TEST_0037,0.58197427
TEST_0038,0.4887485
TEST_0039,0.7191159
TEST_0040,0.41070405
TEST_0041,0.5149189
TEST_0042,0.7824164
TEST_0043,0.3985197
TEST_0044,0.5577865
TEST_0045,0.64775157
TEST_0046,0.33534995
TEST_0047,0.6824661
TEST_0048,0.37180102
TEST_0049,0.51332223
TEST_0050,0.6208121
TEST_0051,0.7342195
TEST_0052,0.58695173
TEST_0053,0.52763474
TEST_0054,0.35519075
TEST_0055,0.30167788
TEST_0056,0.42894194
TEST_0057,0.64564276
TEST_0058,0.3138509
TEST_0059,0.7168662
TEST_0060,0.5795599
TEST_0061,0.52802575
TEST_0062,0.78181386
TEST_0063,0.712527
TEST_0064,0.38558245
TEST_0065,0.557251
TEST_0066,0.46368474
TEST_0067,0.3403878
TEST_0068,0.20350124
TEST_0069,0.53387564
TEST_0070,0.35829836
TEST_0071,0.21434326
TEST_0072,0.279749
TEST_0073,0.5801541
TEST_0074,0.49270484
TEST_0075,0.19753078
TEST_0076,0.5056583
TEST_0077,0.37781802
TEST_0078,0.3639174
TEST_0079,0.36940598
TEST_0080,0.3488775
TEST_0081,0.31510302
TEST_0082,0.45919833
TEST_0083,0.54049665
TEST_0084,0.27066854
TEST_0085,0.4713469
TEST_0086,0.37394375
TEST_0087,0.81024873
TEST_0088,0.44114587
TEST_0089,0.6374506
TEST_0090,0.370666
TEST_0091,0.40417165
TEST_0092,0.85513026
TEST_0093,0.25486585
TEST_0094,0.4640683
TEST_0095,0.44001907
TEST_0096,0.5132323
TEST_0097,0.6909843
TEST_0098,0.31315205
TEST_0099,0.48017684
TEST_0100,0.40435472
TEST_0101,0.5396011
TEST_0102,0.6166244
TEST_0103,0.7609193
TEST_0104,0.41351104
TEST_0105,0.9071426
TEST_0106,0.29080832
TEST_0107,0.26452917
TEST_0108,0.4791841
TEST_0109,0.38962916
TEST_0110,0.59418464
TEST_0111,0.25927958
TEST_0112,0.36838987
TEST_0113,0.4321654
TEST_0114,0.6192039
TEST_0115,0.533601
TEST_0116,0.35748127
TEST_0117,0.3744482
TEST_0118,0.8735789
TEST_0119,0.66713303
TEST_0120,0.51717234
TEST_0121,0.43718973
TEST_0122,0.55313754
TEST_0123,0.64211553
TEST_0124,0.6131494
TEST_0125,0.7286396
TEST_0126,0.6347394
TEST_0127,0.756276
TEST_0128,0.67428076
TEST_0129,0.43511355
TEST_0130,0.5243464
TEST_0131,0.5652412
TEST_0132,0.7313446
TEST_0133,0.6095274
TEST_0134,0.72727895
TEST_0135,0.5702586
TEST_0136,0.32426363
TEST_0137,0.50199354
TEST_0138,0.32432947
TEST_0139,0.20945565
TEST_0140,0.50985056
TEST_0141,0.61309916
TEST_0142,0.49710944
TEST_0143,0.3779614
TEST_0144,0.5305828
TEST_0145,0.77200353
TEST_0146,0.833867
TEST_0147,0.30045515
TEST_0148,0.24484803
TEST_0149,0.5063973
TEST_0150,0.5585638
TEST_0151,0.4177284
TEST_0152,0.37036747
TEST_0153,0.265729
TEST_0154,0.39104372
TEST_0155,0.4040594
TEST_0156,0.46525955
TEST_0157,0.7231499
TEST_0158,0.26754028
TEST_0159,0.430327
TEST_0160,-0.11281883
TEST_0161,0.21052708
TEST_0162,0.3459938
TEST_0163,0.51212907
TEST_0164,0.47587544
TEST_0165,0.8374828
TEST_0166,0.5454761
TEST_0167,0.5473958
TEST_0168,0.3629164
TEST_0169,0.43305477
TEST_0170,0.54716283
TEST_0171,0.712451
TEST_0172,0.5714083
TEST_0173,0.591547
TEST_0174,0.4371002
TEST_0175,0.46373665
TEST_0176,0.59706706
TEST_0177,0.80230826
TEST_0178,0.35065293
TEST_0179,0.69478995
TEST_0180,0.17605498
TEST_0181,0.65160173
TEST_0182,0.44463485
TEST_0183,0.5908395
TEST_0184,0.6271524
TEST_0185,0.09951812
TEST_0186,0.47139782
TEST_0187,0.199246
TEST_0188,0.36264148
TEST_0189,0.60816914
TEST_0190,0.5823777
TEST_0191,0.18993929
TEST_0192,0.25901824
TEST_0193,0.28982967
TEST_0194,0.40029755
TEST_0195,0.13158412
TEST_0196,0.20983806
TEST_0197,0.12125675
TEST_0198,0.546294
TEST_0199,0.4662994
TEST_0200,0.38661325
TEST_0201,0.47899425
TEST_0202,0.42580125
TEST_0203,0.14450943
TEST_0204,0.49577215
TEST_0205,0.7836243
TEST_0206,0.39908043
TEST_0207,0.4695878
TEST_0208,0.7268393
TEST_0209,0.49743798
