original,simplified_human,simplified_by_model
지역 부동산업계는 마감이 오는 29일이어서 추가로 구역 3~5곳이 접수할 것으로 전망하고 있다.,"지역의 집과 땅을 사고파는 사람들이 모여 있는 곳에서는 29일에 마감이 있어서, 앞으로 3곳에서 5곳의 새로운 지역이 추가로 신청할 것으로 예상하고 있어요.",지역 부동산 업계는 29일에 마감하는 지역을 더 많이 접수할 것으로 예상하고 있어요.
"생활권은 기존 4개 중 오포와 경안 등지를 하나로 묶어 3개(오포·경안, 곤지암·초월, 남한산성·퇴촌)로 재편한다는 방침이다.","생활권은 원래 4개 지역이 있었는데, 그 중 오포와 경안 지역을 합쳐서 3개 지역으로 나누기로 했어요. 새로운 지역은 오포·경안, 곤지암·초월, 남한산성·퇴촌 이렇게 3개로 정해졌어요.","생활권은 지금까지 4개 지역을 하나로 합쳐서 3개로 나누기로 했어요. 여기에는 오포와 경안, 곤지암과 초월, 남한산성과 퇴촌이 포함되어 있어요."
지난해 1월 발행된 그리고카드는 코로나19 상황 속에서 소비를 촉진하고 지역자금 역외유출을 막는 등 상경기 활성화에 한몫을 하고 있다는 평가를 받고 있다. 그리고카드는 발행 초기 100만원 한도액에 6~15%의 인센티브를 제공했지만 이후 50만원에 6~10%의 인센티브를 지급하고 있으며 가입자가 3만여명에 달한다.,"작년 1월에 나온 '그리고카드'는 코로나19 때문에 어려운 상황에서 사람들의 소비를 도와주고, 지역 돈이 다른 곳으로 빠져나가는 것을 막는 데 도움이 되고 있다는 평가를 받고 있어요. 처음에는 카드 사용 한도가 100만원이었고, 6%에서 15%까지의 보너스를 줬지만, 지금은 한도가 50만원으로 줄어들었고 보너스는 6%에서 10%로 바뀌었어요. 이 카드를 사용하는 사람은 3만 명이 넘어요.","지난해 1월에 발행된 그리고카드는 코로나19로 인해 경제가 활성화되도록 도와주고, 돈이 해외로 나가는 것을 막는 역할을 하고 있다고 평가받고 있어요. 그리고카드는 처음 100만 원을 사용할 수 있게 해주는 데 6%에서 15%의 보상을 제공했지만, 이후에는 50만 원을 사용할 때 6%에서 10%의 보상을 주는 방식으로 바뀌었어요. 그리고카드는 현재 3만 명 이상의 가입자들이 있어요."
임성빈 시 경제과장은 “이번 이벤트를 통해 동해사랑상품권의 활성화는 물론 시민 가계부담 경감과 위축된 소비시장이 살아나 시민과 소상공인 모두 따뜻한 겨울을 맞이하는데 조금이라도 보탬이 됐으면 한다”고 말했다.,"임성빈 경제과장은 “이번 행사로 동해사랑상품권이 더 많이 사용되기를 바라며, 시민들의 생활비 부담을 줄이고, 소비가 활발해져서 시민들과 작은 가게 주인들이 모두 따뜻한 겨울을 보낼 수 있도록 도움이 되었으면 좋겠다”고 말했습니다.","임성빈 시 경제과장은 “이번 이벤트 덕분에 동해사랑상품권을 더 많이 사용하고, 시민들의 생활 부담을 줄여주고, 소비가 줄어드는 것을 도와주려고 노력하고 있어요. 그래서 따뜻한 겨울을 보내는 데 조금이라도 도움이 되었으면 좋겠어요”라고 말했어요."
"유가증권시장에서 기관이 951억원을 순매수하면서 지수 상승을 이끌었다. 개인과 외국인은 각각 601억원, 367억원을 순매도했다.","기관이 유가증권시장에서 951억원을 사면서 주식 시장의 지수가 올랐어요. 반면, 개인 투자자와 외국인 투자자는 각각 601억원과 367억원을 팔았어요.","유가증권시장에서 큰 돈이 기관에서 951억원을 순매수하면서 주식 시장이 오르는 데 큰 역할을 했어요. 개인 투자자들은 각각 601억원을 순매수했고, 외국 투자자들은 각각 367억원을 순매수했어요."
1일 부천시에 따르면 시는 중소기업 지원책의 하나로 성장 잠재력을 가진 작지만 강한 유망 중소기업을 발굴하고자 강소기업을 선정한다.,"부천시에서는 중소기업을 도와주기 위해, 성장 가능성이 큰 작지만 힘이 있는 좋은 중소기업을 찾고 있어요. 그래서 특별한 기업을 뽑고 있어요.","부천시가 오늘 발표한 내용에 따르면, 중소기업을 키우고 성장할 가능성이 있는 작은 기업들을 찾아서 특별히 도와줄 거예요."
"더존비즈온의 매출채권팩토링은 실시간 세무·회계 빅데이터를 활용, 기업 정보와 기업간 매출 진위 여부를 제공한다. 또 자금 공급자는 이 정보를 바탕으로 심사 후 일정 할인율로 매출 채권을 매입하게 된다.","더존비즈온의 매출채권팩토링은 회사의 돈과 세금에 대한 큰 데이터를 사용해서, 다른 회사의 정보와 매출이 진짜인지 아닌지를 알려줘. 그리고 돈을 빌려주는 사람은 이 정보를 보고 심사를 한 후, 정해진 할인율로 회사의 매출 채권을 사게 돼.","더존비즈온의 매출채권팩토링은 실시간으로 세금과 회계 정보를 이용해서 기업 정보를 제공하고, 기업 간의 거래가 사실인지 확인해준다. 그리고 돈을 빌려주는 사람들은 이 정보를 바탕으로 거래를 평가하고, 일정 비율로 매출 채권을 사서 거래를 진행하게 된다."
최근 춘천지역에 주상복합 등 대형건축물 신축 ‘붐’이 일고 있는 가운데 차기 시정에서 대형건축물 인허가 기조가 바뀔지 주목된다.,최근 춘천 지역에서는 아파트와 상점이 함께 있는 큰 건물을 많이 짓고 있어요. 그래서 앞으로 이 지역에서 큰 건물을 허가해주는 규칙이 어떻게 바뀔지 많은 사람들이 관심을 가지고 지켜보고 있어요.,최근 춘천 지역에서 큰 건물들이 새로 생기고 있어서 많은 사람들이 관심을 가지고 있어요. 앞으로 이 건물들을 허가하는 방법이 어떻게 바뀔지 궁금해요.
"작년 대비 1인 가구가 가장 큰 폭으로 증가한 연령대는 60대였다. 60대 1인 가구는 지난 1년 새 13.2% 급증했는데, 특히 남자 60대(15.6%) 증가율이 높았다.","작년과 비교했을 때, 혼자 사는 1인 가구가 가장 많이 늘어난 나이는 60대였다. 60대 혼자 사는 사람은 지난 1년 동안 13.2%나 늘었고, 특히 남자 60대가 15.6%로 더 많이 증가했다.","작년과 비교했을 때, 1인 가구가 가장 많이 늘어난 연령대는 60대였어요. 60대 1인 가구는 지난 1년 동안 13.2%나 늘어난 거예요. 특히 남자 60대(15.6%)가 가장 많이 늘어난 이유를 설명해줘요."
"감면대상은 각 세대주에게 부과되는 주민세 개인분, 착한 임대인 대상 재산세(100만원 한도), 자동차등록원부에 영업용으로 등록된 차량의 자동차세액 (100%) 등이다.","감면대상은 각 집의 주인이 내야 하는 주민세 개인분, 착한 임대인에게 주는 재산세(최대 100만원), 그리고 영업용으로 등록된 자동차의 자동차세(100%) 등이에요.","감면받을 수 있는 돈은 각 세대주에게 내야 하는 주민세에 대한 개인분, 좋은 임대인에게 내야 하는 재산세(100만원 한도), 그리고 자동차 등록원부에 영업용으로 등록된 차량의 자동차세액(100%) 같은 것들이 있어요."
