,item_name,item_area,item_avg_rating,item_spec_area,user_name,user_tot_avg_rating,user_tot_rating_num,user_tot_follow_num,user_rating,user_query,taste,price,service,menu,date
0,해누리 동산들밥 본점,곤지암,4.7,경기도 광주시 곤지암읍 오향리 416-2,"
민쓰니
",4.5,189,1,5점,이른 저녁 먹으려고 5시전에 일요일 방문했는데 사람들이 많았습니다. 셀프로 부족한 음식 가져다 먹을 수 있는데 너무 맛있어서 폭식을 해버렸지요.        ,맛: 좋음,가격: 만족,응대: 좋음,해누리정식,2025년 12월 31일
1,해누리 동산들밥 본점,곤지암,4.7,경기도 광주시 곤지암읍 오향리 416-2,"
독깨팔
",4.1,105,0,5점,정갈하게 잘나오고 가족모임하기 좋아요! 맛도 정말 좋습니다잉        ,맛: 좋음,가격: 만족,응대: 좋음,해정식,1월 22일
2,해누리 동산들밥 본점,곤지암,4.7,경기도 광주시 곤지암읍 오향리 416-2,"
김밥러버
",4.0,295,0,5점,"강황 돌솥밥, 밑반찬 하나 빠짐없이 다 맛있고 또 가고싶은 집이에요 한식 좋아하시는 분은 무조건 좋아할 것 같네요!!        ",맛: 좋음,가격: 만족,응대: 좋음,해누리정식,1월 1일
3,해누리 동산들밥 본점,곤지암,4.7,경기도 광주시 곤지암읍 오향리 416-2,"
딸기쪼오아
",4.1,84,0,4점,제육이랑 간장게장 둘다 먹을 수 있어서 좋아오 분위기도 좋아요        ,맛: 보통,가격: 보통,응대: 보통,해누리정식,1월 23일
4,해누리 동산들밥 본점,곤지암,4.7,경기도 광주시 곤지암읍 오향리 416-2,"
오드리랑
",4.6,85,0,5점,"정갈하고 깔끔해요 
간이 짜지 않고 딱 적당해서 맛있어요 
찬들도 메인 3가지 빼고는 자유롭게 리필 가능해요!! 
손님 접대하기 괜찮은 집이에요!! 
이천 광주 통틀어 쌀밥집중에 제일 맛집입니다!!👍👍 나무랄대가 없어요☺️☺️👍👍 직원분이 조금만 더 상냥 친절하셨음 
완벽 그 잡채인데.... 
그게 쬐금 아쉬운 점이라면 아쉽네요 
별 하나 뺍니다... 🥲        ",맛: 좋음,가격: 만족,응대: 보통,해누리정식,2024년 1월 28일
5,해누리 동산들밥 본점,곤지암,4.7,경기도 광주시 곤지암읍 오향리 416-2,"
오또잇
",3.9,285,2,5점,"화담숲 다녀오는 길에 괜찮은 한정식집이 있다고 해서 방문했는데 조용하고 깔끔한 느낌을 기대했다면 그거랑은 좀 거리가 있고 약간 가족 외식 느낌의 식당이었다.
가격에 비해 반찬 가짓수나 구성이 좋았고 무엇보다 마음껏 리필해 먹을 수 있는 셀프바가 있어서 이 점은 참 좋은듯. 반찬 떨어지기 전에 수시로 채워놓아서 모자르지 않았다!
음식 맛도 괜찮고(약간 심심한 편, 하지만 짜지 않아서 오히려 좋음) 양도 괜찮아서 근처 지나갈 일 있으면 여기서 식사할 듯. 룸도 있으나 웨이팅 있을 경우 원하는 자리에 앉긴 힘들다ㅠ
부모님 모시고 가면 좋아하실 것 같다!        ",맛: 좋음,가격: 만족,응대: 보통,해누리정식,2023년 10월 30일
6,해누리 동산들밥 본점,곤지암,4.7,경기도 광주시 곤지암읍 오향리 416-2,"
이두지니
",4.7,274,1,5점,분위기가 좋고 내부도 굉장히 넓더라구요! 슈육양은 적어서 아쉬운데 그래두 맛있어요!        ,맛: 좋음,가격: 만족,응대: 좋음,해누리정식,2024년 12월 10일
7,해누리 동산들밥 본점,곤지암,4.7,경기도 광주시 곤지암읍 오향리 416-2,"
나는부자다
",3.6,323,1,5점,"푸짐하고 담백해요
질리지않은 맛이고 먹고나면 속도 편하네요        ",맛: 좋음,가격: 만족,응대: 좋음,참누리정식,2025년 2월 22일
8,해누리 동산들밥 본점,곤지암,4.7,경기도 광주시 곤지암읍 오향리 416-2,"
김밥사랑
",4.5,185,1,5점,반찬이 정갈하고 다 맛있어서 밥이 모자랐어요. 낫또 샐러드는 애기들도 잘 먹고 진짜 최고예요!        ,맛: 좋음,가격: 만족,응대: 좋음,해누리정식,2024년 10월 3일
9,해누리 동산들밥 본점,곤지암,4.7,경기도 광주시 곤지암읍 오향리 416-2,"
MarkJacob
",4.5,407,19,5점,"곤지암쪽에서 아주 유명한 한정식 집. 4명이 갈 경우 해누리 2인 / 참누리 2인을 주문하는 것이 국룰. 이렇게 주문할 경우 고추장돼지불고기 / 간장돼지불고기 / 보리굴비를 메인메뉴로 즐길 수 있는데 메인메뉴 모두 솥밥과의 궁합이 좋은 편. 솥밥은 강황이 섞인듯한 노란밥이 나오는데 찰기가 좋고 한정식의 모든 메뉴와도 잘 어울림. 사이드반찬 또한 정갈하기 그지없어 어느하나도 남기기 아까울 정도. 솥밥의 누룽지도 적당해서 마무리 식사로 제격. 기본메뉴가 20,000원이지만 메뉴구성과 맛을 생각하면 전혀 아깝지않고 오히려 가성비가 좋다고 느껴짐. 주차도 편리해서 접근성도 좋음. 강추!        ",맛: 좋음,가격: 만족,응대: 보통,"해누리정식, 참누리정식, 직화바싹불고기",2024년 7월 14일
10,해누리 동산들밥 본점,곤지암,4.7,경기도 광주시 곤지암읍 오향리 416-2,"
냠냠
",4.2,22,1,3점,양념게장은 좀 비릿했지만 나머지는 무난한 맛이었습니다. 버섯탕수육 반찬이 맛있었는데 추가하려면 비용을 따로 내야 하더군요. 추가메뉴에는 없던데...        ,맛: 보통,가격: 보통,응대: 보통,동산들밥정찬,2019년 6월 15일
11,해누리 동산들밥 본점,곤지암,4.7,경기도 광주시 곤지암읍 오향리 416-2,"
해밭
",4.0,1093,3,4점,"맛있어요 점심식사 부담없이 하고 가기 좋아요
훌륭합니다요        ",맛: 좋음,가격: 보통,응대: 좋음,동산들밥정식,2022년 1월 1일
12,김삿갓밥집,남양주,4.3,경기도 남양주시 화도읍 구암리 473-7,"
pepa
",3.7,273,34,5점,특히 나물 반찬이 나물 향이 전부 살아있고 고소해서 다 맛있다. 게다가 그 나물들 대부분을 셀프바에서 얼마든지 가져다 먹을 수 있다는 게 놀랍다. 다만 수육을 남길 정도로 너무 푸짐하다.        ,맛: 좋음,가격: 만족,응대: 보통,삿갓정식:쌀&보리+30찬+보쌈+호박죽,2월 14일
13,김삿갓밥집,남양주,4.3,경기도 남양주시 화도읍 구암리 473-7,"
지링
",4.3,517,8,5점,와 가성비 대박 부모님 생신때 모시고 갔는데 제가 더 만족스러워요 ㅋㅋ또 가고 싶어요...        ,맛: 좋음,가격: 만족,응대: 좋음,삿갓정식:쌀&보리+30찬+보쌈+호박죽,2월 19일
14,김삿갓밥집,남양주,4.3,경기도 남양주시 화도읍 구암리 473-7,"
호빵2찐빵2
",4.8,35,0,5점,30찬 나오는 남양주 한정식 웨이팅 맛집!! 주차 편하고 반찬들도 다 맛있어요 😙        ,맛: 좋음,가격: 만족,응대: 좋음,김삿갓정식(보리+30찬+수육+호박죽),2025년 10월 13일
15,김삿갓밥집,남양주,4.3,경기도 남양주시 화도읍 구암리 473-7,"
양아줌마
",4.0,739,21,4점,"드라이브 갔다가 2번이나 문이 닫혀
작정하고  찾아갔아요.
차들이 주차장에 꽉찼어요.
카오스크에서 등록하니  27팀이나 앞에  있고
1시간 10분 기다리라  하더니 정확히 그시간에 들어갔어요.
반찬이 조금씩 30가지나 되고 반찬 리필도 되네요.
보쌈과  조기, 그리고 된장찌개 나왔어요.
그런데 묵은나물이 4가지나 나오고  
콩나물과 숙주나물 동 겹쳐서 그게 좀 아쉽네요.        ",맛: 좋음,가격: 보통,응대: 좋음,삿갓정식(보리밥+30찬+수육+호박죽),2025년 3월 24일
16,김삿갓밥집,남양주,4.3,경기도 남양주시 화도읍 구암리 473-7,"
효진
",4.8,18,2,5점,단일메뉴이고 5시 정도까지만 한다고 하네요.. 너무 친절하시고 나물이 다 맛있어요 ㅋㅋ        ,맛: 좋음,가격: 만족,응대: 좋음,김삿갓정식(밥+30찬+수육+호박죽),2025년 10월 29일
17,김삿갓밥집,남양주,4.3,경기도 남양주시 화도읍 구암리 473-7,"
세상에이런일이
",4.3,2,1,5점,"너무 배부르게 먹었습니다
다양한 반찬에 들기름을 섞어 먹으면 
기절입니다        ",맛: 좋음,가격: 만족,응대: 좋음,삿갓정식(보리밥+30찬+수육+호박죽),2025년 5월 29일
18,김삿갓밥집,남양주,4.3,경기도 남양주시 화도읍 구암리 473-7,"
kea2670
",4.8,95,3,5점,"주말이라 대기가 많이 길긴했지만,
사장님께서 대기하는 사람들을 신경써주시는게 느껴져서 그 점이 참 좋았습니다
반찬들도 하나하나 자극적이지 않고 맛있었어요~!        ",맛: 좋음,가격: 만족,응대: 좋음,삿갓정식(보리밥+30찬+수육+호박죽),2025년 3월 17일
19,김삿갓밥집,남양주,4.3,경기도 남양주시 화도읍 구암리 473-7,"
율토리
",3.8,86,0,5점,30첩 나오는 한정식 치고 가격도 괜찮고 나물의  참기름향이 좋고 맛있어요! 점심사간 이후에는 웨이팅도 많지 않아서 한번쯤 가볼만 합니다~        ,맛: 좋음,가격: 만족,응대: 좋음,삿갓정식(쌀보리+30찬+수육+호박죽),2024년 9월 5일
20,김삿갓밥집,남양주,4.3,경기도 남양주시 화도읍 구암리 473-7,"
meme5050
",4.9,250,0,5점,"저렴한 가격에 푸짐하게 먹을수있어서 좋고
역시 한식이 먹고나서도 속이 편해서 좋아요        ",맛: 좋음,가격: 만족,응대: 좋음,김삿갓정식(보리+30찬+수육+호박죽),2025년 9월 13일
21,김삿갓밥집,남양주,4.3,경기도 남양주시 화도읍 구암리 473-7,"
다라이
",4.4,294,4,4.5점,김삿갓밥집.화도 맛집 찾다가 1등으로 떠서 방문 단일메뉴라 좋고 건강한 한상 먹고 온 것 같아요! 어르신들 완전 좋아하실듯 그래서 가족단위 외식팀이 많았어용        ,맛: 좋음,가격: 만족,응대: 좋음,삿갓정식(보리밥+30찬+수육+호박죽),2025년 4월 3일
22,김삿갓밥집,남양주,4.3,경기도 남양주시 화도읍 구암리 473-7,"
TwoChap
",3.7,20,1,3.5점,가평으로 캠핑왔다가 돌아가는길에 들린 밥집! 오랜만에 한정식이 먹고싶어 찾은 김삿갓! 살짝 가성비에선 밀리는거 같지만 꽤 괜찮은 식사였다.        ,맛: 보통,가격: 보통,응대: 좋음,삿갓정식(보리밥+30찬+수육+호박죽),2025년 5월 29일
23,김삿갓밥집,남양주,4.3,경기도 남양주시 화도읍 구암리 473-7,"
미니iii스타
",3.9,524,5,5점,"여기 진짜 상다리가 부러지는 집이다
가짓수가 30찬배가 불러서 저녁은 스킵이다특히 수육이 일품
근데 넘 멀어서 못오겟다        ",맛: 좋음,가격: 만족,응대: 좋음,삿갓정식(보리밥+30찬+수육+호박죽),2025년 4월 5일
